filename,jobs,machines,total_operations,max_time,filepath
HurinkSdata47.fjs,20,15,300,40,data/2a_Hurink_sdata/HurinkSdata47.fjs
HurinkSdata62.fjs,10,10,100,99,data/2a_Hurink_sdata/HurinkSdata62.fjs
HurinkSdata51.fjs,12,5,60,966,data/2a_Hurink_sdata/HurinkSdata51.fjs
HurinkSdata7.fjs,10,5,50,98,data/2a_Hurink_sdata/HurinkSdata7.fjs
HurinkSdata21.fjs,10,10,100,97,data/2a_Hurink_sdata/HurinkSdata21.fjs
HurinkSdata45.fjs,10,10,100,98,data/2a_Hurink_sdata/HurinkSdata45.fjs
HurinkSdata5.fjs,10,5,50,99,data/2a_Hurink_sdata/HurinkSdata5.fjs
HurinkSdata15.fjs,20,5,100,98,data/2a_Hurink_sdata/HurinkSdata15.fjs
HurinkSdata19.fjs,10,10,100,98,data/2a_Hurink_sdata/HurinkSdata19.fjs
HurinkSdata4.fjs,10,5,50,98,data/2a_Hurink_sdata/HurinkSdata4.fjs
HurinkSdata38.fjs,30,10,300,99,data/2a_Hurink_sdata/HurinkSdata38.fjs
HurinkSdata40.fjs,15,15,225,99,data/2a_Hurink_sdata/HurinkSdata40.fjs
HurinkSdata30.fjs,20,10,200,99,data/2a_Hurink_sdata/HurinkSdata30.fjs
HurinkSdata13.fjs,15,5,75,97,data/2a_Hurink_sdata/HurinkSdata13.fjs
HurinkSdata24.fjs,15,10,150,99,data/2a_Hurink_sdata/HurinkSdata24.fjs
HurinkSdata27.fjs,15,10,150,99,data/2a_Hurink_sdata/HurinkSdata27.fjs
HurinkSdata60.fjs,10,10,100,98,data/2a_Hurink_sdata/HurinkSdata60.fjs
HurinkSdata16.fjs,20,5,100,97,data/2a_Hurink_sdata/HurinkSdata16.fjs
HurinkSdata55.fjs,7,7,49,963,data/2a_Hurink_sdata/HurinkSdata55.fjs
HurinkSdata14.fjs,20,5,100,98,data/2a_Hurink_sdata/HurinkSdata14.fjs
HurinkSdata50.fjs,13,4,52,996,data/2a_Hurink_sdata/HurinkSdata50.fjs
HurinkSdata6.fjs,10,5,50,91,data/2a_Hurink_sdata/HurinkSdata6.fjs
HurinkSdata39.fjs,15,15,225,99,data/2a_Hurink_sdata/HurinkSdata39.fjs
HurinkSdata25.fjs,15,10,150,98,data/2a_Hurink_sdata/HurinkSdata25.fjs
HurinkSdata3.fjs,20,5,100,99,data/2a_Hurink_sdata/HurinkSdata3.fjs
HurinkSdata44.fjs,10,10,100,99,data/2a_Hurink_sdata/HurinkSdata44.fjs
HurinkSdata66.fjs,10,10,100,99,data/2a_Hurink_sdata/HurinkSdata66.fjs
Behnke21.fjs,10,40,50,30,data/Behnke_m40/Behnke21.fjs
Behnke38.fjs,100,40,500,30,data/Behnke_m40/Behnke38.fjs
Behnke22.fjs,10,40,50,30,data/Behnke_m40/Behnke22.fjs
Behnke25.fjs,10,40,50,30,data/Behnke_m40/Behnke25.fjs
Behnke28.fjs,20,40,100,30,data/Behnke_m40/Behnke28.fjs
Behnke30.fjs,20,40,100,30,data/Behnke_m40/Behnke30.fjs
Behnke29.fjs,20,40,100,30,data/Behnke_m40/Behnke29.fjs
Behnke27.fjs,20,40,100,30,data/Behnke_m40/Behnke27.fjs
Behnke35.fjs,50,40,250,30,data/Behnke_m40/Behnke35.fjs
Behnke37.fjs,100,40,500,30,data/Behnke_m40/Behnke37.fjs
Behnke24.fjs,10,40,50,30,data/Behnke_m40/Behnke24.fjs
Behnke40.fjs,100,40,500,30,data/Behnke_m40/Behnke40.fjs
Behnke34.fjs,50,40,250,30,data/Behnke_m40/Behnke34.fjs
Behnke31.fjs,50,40,250,30,data/Behnke_m40/Behnke31.fjs
Behnke32.fjs,50,40,250,30,data/Behnke_m40/Behnke32.fjs
Behnke23.fjs,10,40,50,30,data/Behnke_m40/Behnke23.fjs
Behnke26.fjs,20,40,100,30,data/Behnke_m40/Behnke26.fjs
Behnke39.fjs,100,40,500,30,data/Behnke_m40/Behnke39.fjs
Behnke33.fjs,50,40,250,30,data/Behnke_m40/Behnke33.fjs
Behnke36.fjs,100,40,500,30,data/Behnke_m40/Behnke36.fjs
Kacem1.fjs,4,5,12,54,data/5_Kacem/Kacem1.fjs
Kacem2.fjs,10,7,29,99,data/5_Kacem/Kacem2.fjs
Behnke9.fjs,20,20,100,30,data/0_BehnkeGeiger/Behnke9.fjs
Behnke5.fjs,10,20,50,30,data/0_BehnkeGeiger/Behnke5.fjs
Behnke8.fjs,20,20,100,30,data/0_BehnkeGeiger/Behnke8.fjs
Behnke11.fjs,50,20,250,30,data/0_BehnkeGeiger/Behnke11.fjs
Behnke13.fjs,50,20,250,30,data/0_BehnkeGeiger/Behnke13.fjs
Behnke10.fjs,20,20,100,30,data/0_BehnkeGeiger/Behnke10.fjs
Behnke2.fjs,10,20,50,30,data/0_BehnkeGeiger/Behnke2.fjs
Behnke12.fjs,50,20,250,30,data/0_BehnkeGeiger/Behnke12.fjs
Behnke4.fjs,10,20,50,30,data/0_BehnkeGeiger/Behnke4.fjs
Behnke17.fjs,100,20,500,30,data/0_BehnkeGeiger/Behnke17.fjs
Behnke15.fjs,50,20,250,30,data/0_BehnkeGeiger/Behnke15.fjs
Behnke6.fjs,20,20,100,30,data/0_BehnkeGeiger/Behnke6.fjs
Behnke19.fjs,100,20,500,30,data/0_BehnkeGeiger/Behnke19.fjs
Behnke3.fjs,10,20,50,30,data/0_BehnkeGeiger/Behnke3.fjs
Behnke20.fjs,100,20,500,30,data/0_BehnkeGeiger/Behnke20.fjs
Behnke1.fjs,10,20,50,30,data/0_BehnkeGeiger/Behnke1.fjs
Behnke7.fjs,20,20,100,30,data/0_BehnkeGeiger/Behnke7.fjs
Behnke14.fjs,50,20,250,30,data/0_BehnkeGeiger/Behnke14.fjs
Behnke16.fjs,100,20,500,30,data/0_BehnkeGeiger/Behnke16.fjs
Behnke18.fjs,100,20,500,30,data/0_BehnkeGeiger/Behnke18.fjs
HurinkVdata43.fjs,15,15,225,99,data/2d_Hurink_vdata/HurinkVdata43.fjs
HurinkVdata10.fjs,15,5,75,97,data/2d_Hurink_vdata/HurinkVdata10.fjs
HurinkVdata12.fjs,15,5,75,99,data/2d_Hurink_vdata/HurinkVdata12.fjs
HurinkVdata4.fjs,10,5,50,98,data/2d_Hurink_vdata/HurinkVdata4.fjs
HurinkVdata47.fjs,20,15,300,40,data/2d_Hurink_vdata/HurinkVdata47.fjs
HurinkVdata63.fjs,10,10,99,59,data/2d_Hurink_vdata/HurinkVdata63.fjs
HurinkVdata6.fjs,10,5,50,91,data/2d_Hurink_vdata/HurinkVdata6.fjs
HurinkVdata27.fjs,15,10,150,99,data/2d_Hurink_vdata/HurinkVdata27.fjs
HurinkVdata66.fjs,10,10,100,99,data/2d_Hurink_vdata/HurinkVdata66.fjs
HurinkVdata54.fjs,8,9,72,999,data/2d_Hurink_vdata/HurinkVdata54.fjs
HurinkVdata51.fjs,12,5,60,966,data/2d_Hurink_vdata/HurinkVdata51.fjs
HurinkVdata11.fjs,15,5,75,98,data/2d_Hurink_vdata/HurinkVdata11.fjs
HurinkVdata32.fjs,20,10,200,99,data/2d_Hurink_vdata/HurinkVdata32.fjs
HurinkVdata49.fjs,11,5,55,999,data/2d_Hurink_vdata/HurinkVdata49.fjs
HurinkVdata55.fjs,7,7,49,963,data/2d_Hurink_vdata/HurinkVdata55.fjs
HurinkVdata41.fjs,15,15,225,99,data/2d_Hurink_vdata/HurinkVdata41.fjs
HurinkVdata24.fjs,15,10,150,99,data/2d_Hurink_vdata/HurinkVdata24.fjs
HurinkVdata56.fjs,8,8,64,965,data/2d_Hurink_vdata/HurinkVdata56.fjs
HurinkVdata8.fjs,10,5,50,97,data/2d_Hurink_vdata/HurinkVdata8.fjs
HurinkVdata23.fjs,10,10,100,99,data/2d_Hurink_vdata/HurinkVdata23.fjs
HurinkVdata13.fjs,15,5,75,97,data/2d_Hurink_vdata/HurinkVdata13.fjs
HurinkVdata7.fjs,10,5,50,98,data/2d_Hurink_vdata/HurinkVdata7.fjs
HurinkVdata30.fjs,20,10,200,99,data/2d_Hurink_vdata/HurinkVdata30.fjs
HurinkVdata18.fjs,20,5,100,99,data/2d_Hurink_vdata/HurinkVdata18.fjs
HurinkVdata20.fjs,10,10,100,98,data/2d_Hurink_vdata/HurinkVdata20.fjs
HurinkVdata14.fjs,20,5,100,98,data/2d_Hurink_vdata/HurinkVdata14.fjs
HurinkVdata2.fjs,10,10,100,99,data/2d_Hurink_vdata/HurinkVdata2.fjs
HurinkVdata65.fjs,10,10,100,99,data/2d_Hurink_vdata/HurinkVdata65.fjs
HurinkVdata28.fjs,15,10,150,99,data/2d_Hurink_vdata/HurinkVdata28.fjs
HurinkVdata61.fjs,10,10,100,99,data/2d_Hurink_vdata/HurinkVdata61.fjs
HurinkVdata64.fjs,10,10,100,97,data/2d_Hurink_vdata/HurinkVdata64.fjs
HurinkVdata3.fjs,20,5,100,99,data/2d_Hurink_vdata/HurinkVdata3.fjs
HurinkVdata35.fjs,30,10,300,99,data/2d_Hurink_vdata/HurinkVdata35.fjs
HurinkVdata45.fjs,10,10,100,98,data/2d_Hurink_vdata/HurinkVdata45.fjs
HurinkVdata57.fjs,10,10,100,99,data/2d_Hurink_vdata/HurinkVdata57.fjs
HurinkVdata1.fjs,6,6,36,10,data/2d_Hurink_vdata/HurinkVdata1.fjs
HurinkVdata25.fjs,15,10,150,98,data/2d_Hurink_vdata/HurinkVdata25.fjs
HurinkVdata50.fjs,13,4,52,996,data/2d_Hurink_vdata/HurinkVdata50.fjs
HurinkVdata39.fjs,15,15,225,99,data/2d_Hurink_vdata/HurinkVdata39.fjs
HurinkVdata59.fjs,10,10,100,99,data/2d_Hurink_vdata/HurinkVdata59.fjs
HurinkVdata42.fjs,15,15,225,99,data/2d_Hurink_vdata/HurinkVdata42.fjs
HurinkVdata60.fjs,10,10,100,98,data/2d_Hurink_vdata/HurinkVdata60.fjs
HurinkVdata53.fjs,10,6,60,999,data/2d_Hurink_vdata/HurinkVdata53.fjs
HurinkVdata19.fjs,10,10,100,98,data/2d_Hurink_vdata/HurinkVdata19.fjs
HurinkVdata37.fjs,30,10,300,99,data/2d_Hurink_vdata/HurinkVdata37.fjs
HurinkVdata38.fjs,30,10,300,99,data/2d_Hurink_vdata/HurinkVdata38.fjs
HurinkVdata33.fjs,20,10,200,99,data/2d_Hurink_vdata/HurinkVdata33.fjs
HurinkVdata5.fjs,10,5,50,99,data/2d_Hurink_vdata/HurinkVdata5.fjs
HurinkVdata52.fjs,14,4,56,999,data/2d_Hurink_vdata/HurinkVdata52.fjs
HurinkVdata15.fjs,20,5,100,98,data/2d_Hurink_vdata/HurinkVdata15.fjs
HurinkVdata44.fjs,10,10,100,99,data/2d_Hurink_vdata/HurinkVdata44.fjs
HurinkVdata21.fjs,10,10,100,97,data/2d_Hurink_vdata/HurinkVdata21.fjs
HurinkVdata17.fjs,20,5,100,97,data/2d_Hurink_vdata/HurinkVdata17.fjs
HurinkVdata34.fjs,30,10,300,99,data/2d_Hurink_vdata/HurinkVdata34.fjs
HurinkVdata31.fjs,20,10,200,99,data/2d_Hurink_vdata/HurinkVdata31.fjs
HurinkVdata58.fjs,10,10,100,99,data/2d_Hurink_vdata/HurinkVdata58.fjs
HurinkVdata16.fjs,20,5,100,97,data/2d_Hurink_vdata/HurinkVdata16.fjs
HurinkVdata40.fjs,15,15,225,99,data/2d_Hurink_vdata/HurinkVdata40.fjs
HurinkVdata22.fjs,10,10,100,97,data/2d_Hurink_vdata/HurinkVdata22.fjs
HurinkVdata26.fjs,15,10,150,97,data/2d_Hurink_vdata/HurinkVdata26.fjs
HurinkVdata48.fjs,20,15,300,40,data/2d_Hurink_vdata/HurinkVdata48.fjs
HurinkVdata9.fjs,15,5,75,98,data/2d_Hurink_vdata/HurinkVdata9.fjs
HurinkVdata62.fjs,10,10,100,99,data/2d_Hurink_vdata/HurinkVdata62.fjs
HurinkVdata36.fjs,30,10,300,99,data/2d_Hurink_vdata/HurinkVdata36.fjs
HurinkVdata46.fjs,20,15,300,40,data/2d_Hurink_vdata/HurinkVdata46.fjs
HurinkVdata29.fjs,20,10,200,99,data/2d_Hurink_vdata/HurinkVdata29.fjs
DPpaulli14a.fjs,20,10,387,100,data/3_DPpaulli/DPpaulli14a.fjs
DPpaulli4a.fjs,10,5,196,98,data/3_DPpaulli/DPpaulli4a.fjs
DPpaulli11a.fjs,15,8,293,100,data/3_DPpaulli/DPpaulli11a.fjs
DPpaulli15a.fjs,20,10,387,100,data/3_DPpaulli/DPpaulli15a.fjs
DPpaulli12a.fjs,15,8,293,99,data/3_DPpaulli/DPpaulli12a.fjs
DPpaulli3a.fjs,10,5,196,100,data/3_DPpaulli/DPpaulli3a.fjs
DPpaulli16a.fjs,20,10,387,99,data/3_DPpaulli/DPpaulli16a.fjs
DPpaulli18a.fjs,20,10,387,99,data/3_DPpaulli/DPpaulli18a.fjs
DPpaulli10a.fjs,15,8,293,98,data/3_DPpaulli/DPpaulli10a.fjs
DPpaulli1a.fjs,10,5,196,100,data/3_DPpaulli/DPpaulli1a.fjs
DPpaulli13a.fjs,20,10,387,100,data/3_DPpaulli/DPpaulli13a.fjs
DPpaulli8a.fjs,15,8,293,100,data/3_DPpaulli/DPpaulli8a.fjs
DPpaulli6a.fjs,10,5,196,98,data/3_DPpaulli/DPpaulli6a.fjs
DPpaulli2a.fjs,10,5,196,100,data/3_DPpaulli/DPpaulli2a.fjs
DPpaulli7a.fjs,15,8,293,100,data/3_DPpaulli/DPpaulli7a.fjs
DPpaulli17a.fjs,20,10,387,98,data/3_DPpaulli/DPpaulli17a.fjs
DPpaulli9a.fjs,15,8,293,100,data/3_DPpaulli/DPpaulli9a.fjs
DPpaulli5a.fjs,10,5,196,99,data/3_DPpaulli/DPpaulli5a.fjs
HurinkRdata46.fjs,20,15,300,40,data/2c_Hurink_rdata/HurinkRdata46.fjs
HurinkRdata21.fjs,10,10,100,97,data/2c_Hurink_rdata/HurinkRdata21.fjs
HurinkRdata7.fjs,10,5,50,98,data/2c_Hurink_rdata/HurinkRdata7.fjs
HurinkRdata19.fjs,10,10,100,98,data/2c_Hurink_rdata/HurinkRdata19.fjs
HurinkRdata45.fjs,10,10,100,98,data/2c_Hurink_rdata/HurinkRdata45.fjs
HurinkRdata44.fjs,10,10,100,99,data/2c_Hurink_rdata/HurinkRdata44.fjs
HurinkRdata29.fjs,20,10,200,99,data/2c_Hurink_rdata/HurinkRdata29.fjs
HurinkRdata25.fjs,15,10,150,98,data/2c_Hurink_rdata/HurinkRdata25.fjs
HurinkRdata15.fjs,20,5,100,98,data/2c_Hurink_rdata/HurinkRdata15.fjs
HurinkRdata18.fjs,20,5,100,99,data/2c_Hurink_rdata/HurinkRdata18.fjs
HurinkRdata63.fjs,10,10,99,59,data/2c_Hurink_rdata/HurinkRdata63.fjs
HurinkRdata56.fjs,8,8,64,965,data/2c_Hurink_rdata/HurinkRdata56.fjs
HurinkRdata13.fjs,15,5,75,97,data/2c_Hurink_rdata/HurinkRdata13.fjs
HurinkRdata54.fjs,8,9,72,999,data/2c_Hurink_rdata/HurinkRdata54.fjs
HurinkRdata28.fjs,15,10,150,99,data/2c_Hurink_rdata/HurinkRdata28.fjs
HurinkRdata37.fjs,30,10,300,99,data/2c_Hurink_rdata/HurinkRdata37.fjs
HurinkRdata38.fjs,30,10,300,99,data/2c_Hurink_rdata/HurinkRdata38.fjs
HurinkRdata20.fjs,10,10,100,98,data/2c_Hurink_rdata/HurinkRdata20.fjs
HurinkRdata27.fjs,15,10,150,99,data/2c_Hurink_rdata/HurinkRdata27.fjs
HurinkRdata47.fjs,20,15,300,40,data/2c_Hurink_rdata/HurinkRdata47.fjs
HurinkRdata34.fjs,30,10,300,99,data/2c_Hurink_rdata/HurinkRdata34.fjs
HurinkRdata33.fjs,20,10,200,99,data/2c_Hurink_rdata/HurinkRdata33.fjs
HurinkRdata40.fjs,15,15,225,99,data/2c_Hurink_rdata/HurinkRdata40.fjs
HurinkRdata32.fjs,20,10,200,99,data/2c_Hurink_rdata/HurinkRdata32.fjs
HurinkRdata14.fjs,20,5,100,98,data/2c_Hurink_rdata/HurinkRdata14.fjs
HurinkRdata1.fjs,6,6,36,10,data/2c_Hurink_rdata/HurinkRdata1.fjs
HurinkRdata16.fjs,20,5,100,97,data/2c_Hurink_rdata/HurinkRdata16.fjs
HurinkRdata3.fjs,20,5,100,99,data/2c_Hurink_rdata/HurinkRdata3.fjs
HurinkRdata10.fjs,15,5,75,97,data/2c_Hurink_rdata/HurinkRdata10.fjs
HurinkRdata12.fjs,15,5,75,99,data/2c_Hurink_rdata/HurinkRdata12.fjs
HurinkRdata24.fjs,15,10,150,99,data/2c_Hurink_rdata/HurinkRdata24.fjs
HurinkRdata35.fjs,30,10,300,99,data/2c_Hurink_rdata/HurinkRdata35.fjs
HurinkRdata31.fjs,20,10,200,99,data/2c_Hurink_rdata/HurinkRdata31.fjs
HurinkRdata49.fjs,11,5,55,999,data/2c_Hurink_rdata/HurinkRdata49.fjs
HurinkRdata22.fjs,10,10,100,97,data/2c_Hurink_rdata/HurinkRdata22.fjs
HurinkRdata42.fjs,15,15,225,99,data/2c_Hurink_rdata/HurinkRdata42.fjs
HurinkRdata17.fjs,20,5,100,97,data/2c_Hurink_rdata/HurinkRdata17.fjs
HurinkRdata23.fjs,10,10,100,99,data/2c_Hurink_rdata/HurinkRdata23.fjs
HurinkRdata6.fjs,10,5,50,91,data/2c_Hurink_rdata/HurinkRdata6.fjs
HurinkRdata53.fjs,10,6,60,999,data/2c_Hurink_rdata/HurinkRdata53.fjs
HurinkRdata62.fjs,10,10,100,99,data/2c_Hurink_rdata/HurinkRdata62.fjs
HurinkRdata64.fjs,10,10,100,97,data/2c_Hurink_rdata/HurinkRdata64.fjs
HurinkRdata26.fjs,15,10,150,97,data/2c_Hurink_rdata/HurinkRdata26.fjs
HurinkRdata61.fjs,10,10,100,99,data/2c_Hurink_rdata/HurinkRdata61.fjs
HurinkRdata2.fjs,10,10,100,99,data/2c_Hurink_rdata/HurinkRdata2.fjs
HurinkRdata39.fjs,15,15,225,99,data/2c_Hurink_rdata/HurinkRdata39.fjs
HurinkRdata30.fjs,20,10,200,99,data/2c_Hurink_rdata/HurinkRdata30.fjs
HurinkRdata50.fjs,13,4,52,996,data/2c_Hurink_rdata/HurinkRdata50.fjs
HurinkRdata48.fjs,20,15,300,40,data/2c_Hurink_rdata/HurinkRdata48.fjs
HurinkRdata55.fjs,7,7,49,963,data/2c_Hurink_rdata/HurinkRdata55.fjs
HurinkRdata9.fjs,15,5,75,98,data/2c_Hurink_rdata/HurinkRdata9.fjs
HurinkRdata36.fjs,30,10,300,99,data/2c_Hurink_rdata/HurinkRdata36.fjs
HurinkRdata57.fjs,10,10,100,99,data/2c_Hurink_rdata/HurinkRdata57.fjs
HurinkRdata43.fjs,15,15,225,99,data/2c_Hurink_rdata/HurinkRdata43.fjs
HurinkRdata59.fjs,10,10,100,99,data/2c_Hurink_rdata/HurinkRdata59.fjs
HurinkRdata65.fjs,10,10,100,99,data/2c_Hurink_rdata/HurinkRdata65.fjs
HurinkRdata41.fjs,15,15,225,99,data/2c_Hurink_rdata/HurinkRdata41.fjs
HurinkRdata5.fjs,10,5,50,99,data/2c_Hurink_rdata/HurinkRdata5.fjs
HurinkRdata4.fjs,10,5,50,98,data/2c_Hurink_rdata/HurinkRdata4.fjs
HurinkRdata11.fjs,15,5,75,98,data/2c_Hurink_rdata/HurinkRdata11.fjs
HurinkRdata8.fjs,10,5,50,97,data/2c_Hurink_rdata/HurinkRdata8.fjs
HurinkRdata66.fjs,10,10,100,99,data/2c_Hurink_rdata/HurinkRdata66.fjs
HurinkRdata60.fjs,10,10,100,98,data/2c_Hurink_rdata/HurinkRdata60.fjs
HurinkRdata52.fjs,14,4,56,999,data/2c_Hurink_rdata/HurinkRdata52.fjs
HurinkRdata58.fjs,10,10,100,99,data/2c_Hurink_rdata/HurinkRdata58.fjs
HurinkRdata51.fjs,12,5,60,966,data/2c_Hurink_rdata/HurinkRdata51.fjs
BrandimarteMk4.fjs,15,8,90,9,data/1_Brandimarte/BrandimarteMk4.fjs
BrandimarteMk11.fjs,30,5,179,29,data/1_Brandimarte/BrandimarteMk11.fjs
BrandimarteMk2.fjs,10,6,58,6,data/1_Brandimarte/BrandimarteMk2.fjs
BrandimarteMk9.fjs,20,10,240,19,data/1_Brandimarte/BrandimarteMk9.fjs
BrandimarteMk5.fjs,15,4,106,9,data/1_Brandimarte/BrandimarteMk5.fjs
BrandimarteMk13.fjs,30,10,231,29,data/1_Brandimarte/BrandimarteMk13.fjs
BrandimarteMk1.fjs,10,6,55,6,data/1_Brandimarte/BrandimarteMk1.fjs
BrandimarteMk3.fjs,15,8,150,19,data/1_Brandimarte/BrandimarteMk3.fjs
BrandimarteMk7.fjs,20,5,100,19,data/1_Brandimarte/BrandimarteMk7.fjs
BrandimarteMk14.fjs,30,15,277,29,data/1_Brandimarte/BrandimarteMk14.fjs
BrandimarteMk12.fjs,30,10,193,29,data/1_Brandimarte/BrandimarteMk12.fjs
BrandimarteMk6.fjs,10,10,150,9,data/1_Brandimarte/BrandimarteMk6.fjs
BrandimarteMk15.fjs,30,15,284,29,data/1_Brandimarte/BrandimarteMk15.fjs
BrandimarteMk8.fjs,20,10,225,19,data/1_Brandimarte/BrandimarteMk8.fjs
BrandimarteMk10.fjs,20,15,240,19,data/1_Brandimarte/BrandimarteMk10.fjs
Behnke46.fjs,20,60,100,30,data/Behnke_m60/Behnke46.fjs
Behnke59.fjs,100,60,500,30,data/Behnke_m60/Behnke59.fjs
Behnke57.fjs,100,60,500,30,data/Behnke_m60/Behnke57.fjs
Behnke58.fjs,100,60,500,30,data/Behnke_m60/Behnke58.fjs
Behnke49.fjs,20,60,100,30,data/Behnke_m60/Behnke49.fjs
Behnke45.fjs,10,60,50,30,data/Behnke_m60/Behnke45.fjs
Behnke43.fjs,10,60,50,30,data/Behnke_m60/Behnke43.fjs
Behnke42.fjs,10,60,50,30,data/Behnke_m60/Behnke42.fjs
Behnke54.fjs,50,60,250,30,data/Behnke_m60/Behnke54.fjs
Behnke53.fjs,50,60,250,30,data/Behnke_m60/Behnke53.fjs
Behnke44.fjs,10,60,50,30,data/Behnke_m60/Behnke44.fjs
Behnke55.fjs,50,60,250,30,data/Behnke_m60/Behnke55.fjs
